Year1,Year,Date,,Version,RELEASE,Changes,By,,Type,General,General Category
+5 years,2011,22/08/2011,4.9,4.9,MINOR,"github#163: Bad comparison failure message when using assertEquals(String, String)",,Bug fixes,,Fix exception message,Bug fix
+5 years,2011,22/08/2011,4.9,4.9,MINOR,github#227: ParentRunner now assumes that getChildren() returns a modifiable list,,Bug fixes,,Fix wrong type assumption,Bug fix
+5 years,2011,22/08/2011,4.9,4.9,MINOR,"Backed out unused folder ""experimental-use-of-antunit"", replaced by bash-based script at build_tests.sh",,Minor changes,Remove unused folder,Code simplification,Maintainability improvement
+5 years,2011,22/08/2011,4.9,4.9,MINOR,Various Javadoc fixes,,Minor changes,,Fix documentation,Documentation
+5 years,2011,22/08/2011,4.9,4.9,MINOR,"Made MultipleFailureException public, to assist extension writers.",,Minor changes,Make class public,Change access modifier,Code redesign
+5 years,2011,22/08/2011,4.9,4.9,MINOR,"github#240: Add ""test"" target to build.xml, for faster ant-driven testing.",,Minor changes,Improve integration with external tool,Code refactoring,Maintainability improvement
+5 years,2011,22/08/2011,4.9,4.9,MINOR,github#247: Give InitializationError a useful message,,Minor changes,,Fix exception message,Bug fix
+4 years,2010,05/10/2010,4.8,4.8.2,PATCH,,,,,,
+4 years,2010,05/10/2010,4.8,4.8.2,PATCH,github#96: TestSuite(MyTestCase.class) should dynamically detect if MyTestCase is a TestCase,,Bug fixes,,Fix wrong implementation,Bug fix
+4 years,2010,25/02/2010,4.8,4.8.1,PATCH,,,,,,
+4 years,2010,25/02/2010,4.8,4.8.1,PATCH,github#61: Category annotations on classes were not honored.,,Bug fixes,,Fix wrong implementation,Bug fix
+4 years,2010,05/10/2010,4.8,4.8,MINOR,,,,,,
+4 years,2010,05/10/2010,4.8,4.8,MINOR,"From a given set of test classes, the Categories runner runs only the classes and methods that are annotated with either the category given with the @IncludeCategory annotation, or a subtype of that category.",,,,Add functionality,Add support for a new feature
+4 years,2010,05/10/2010,4.8,4.8,MINOR,github#16: thread safety of Result counting,,Bug fixes,,Fix thread-safe issue,Bug fix
+3 years,2009,12/08/2009,4.7,4.7,MINOR,,,,,,
+3 years,2009,12/08/2009,4.7,4.7,MINOR,The TemporaryFolder Rule allows creation of files and folders that are guaranteed to be deleted when the test method finishes (whether it passes or fails):,,Rules,The TemporaryFolder Rule allows creation of files and folders that are guaranteed to be deleted when the test method finishes,Add class,Add support for a new feature
+3 years,2009,12/08/2009,4.7,4.7,MINOR,"ExternalResource is a base class for Rules (like TemporaryFolder) that set up an external resource before a test (a file, socket, server, database connection, etc.), and guarantee to tear it down afterward:",,Rules,"ExternalResource is a base class for Rules (like TemporaryFolder) that set up an external resource before a test (a file, socket, server, database connection, etc.), and guarantee to tear it down afterward:",Add class,Add support for a new feature
+3 years,2009,12/08/2009,4.7,4.7,MINOR,"The ErrorCollector Rule allows execution of a test to continue after the first problem is found (for example, to collect all the incorrect rows in a table, and report them all at once):",,Rules,The ErrorCollector Rule allows execution of a test to continue after the first problem is found,Add class,Add support for a new feature
+3 years,2009,12/08/2009,4.7,4.7,MINOR,"Verifier is a base class for Rules like ErrorCollector, which can turn otherwise passing test methods into failing tests if a verification check is failed",,Rules,"Verifier is a base class for Rules like ErrorCollector, which can turn otherwise passing test methods into failing tests if a verification check is failed",Add class,Add support for a new feature
+3 years,2009,12/08/2009,4.7,4.7,MINOR,"TestWatchman is a base class for Rules that take note of the testing action, without modifying it. For example, this class will keep a log of each passing and failing test:",,Rules,"TestWatchman is a base class for Rules that take note of the testing action, without modifying it. For example, this class will keep a log of each passing and failing test:",Add class,Add support for a new feature
+3 years,2009,12/08/2009,4.7,4.7,MINOR,The TestName Rule makes the current test name available inside test methods:,,Rules,The TestName Rule makes the current test name available inside test methods:,Add class,Add support for a new feature
+3 years,2009,12/08/2009,4.7,4.7,MINOR,The Timeout Rule applies the same timeout to all test methods in a class:,,Rules,The Timeout Rule applies the same timeout to all test methods in a class:,Add class,Add support for a new feature
+3 years,2009,12/08/2009,4.7,4.7,MINOR,The ExpectedException Rule allows in-test specification of expected exception types and messages:,,Rules,The ExpectedException Rule allows in-test specification of expected exception types and messages:,Add class,Add support for a new feature
+3 years,2009,12/08/2009,4.7,4.7,MINOR,Tests that time out now show the stack trace of the test thread.,,Timeouts,Tests that time out now show the stack trace of the test thread.,Change implementation,Code redesign
+3 years,2009,12/08/2009,4.7,4.7,MINOR,"Due to typing incompatibilities, JUnit is still including the 1.1 release of hamcrest. ",,Matchers,,Revert old behaviour ,Code redesign
+3 years,2009,12/08/2009,4.7,4.7,MINOR,Javadocs now link to online JDK javadocs (bug 2090230),,Docs,,Update documentation,Documentation
+3 years,2009,12/08/2009,4.7,4.7,MINOR,Parameterized runner javadocs improved (bug 2186792),,Docs,,Improve documentation,Documentation
+3 years,2009,12/08/2009,4.7,4.7,MINOR,Fixed Javadoc code sample for AfterClass (2126279),,Docs,,Fix documentation,Documentation
+3 years,2009,12/08/2009,4.7,4.7,MINOR,"Fixed Javadoc for assertArraysEqual(float[], float[])",,Docs,,Fix documentation,Documentation
+3 years,2009,12/08/2009,4.7,4.7,MINOR,Fixed: BaseTestRunner.getTest() requires class to extend TestCase (1812200),,Bug fixes,BaseTestRunner.getTest() requires class to extend TestCase,Fix wrong implementation,Bug fix
+3 years,2009,12/08/2009,4.7,4.7,MINOR,Fixed: Suite does not allow for inheritance in annotations (2783118),,Bug fixes,Suite does not allow for inheritance in annotations,Fix wrong implementation,Bug fix
+3 years,2009,12/08/2009,4.7,4.7,MINOR,Fixed: ParallelComputer skipped tests that took longer than 2 seconds,,Bug fixes,ParallelComputer skipped tests that took longer than 2 seconds,Fix wrong implementation,Bug fix
+3 years,2009,09/05/2009,4.6,4.6,MINOR,,,,,,
+3 years,2009,09/05/2009,4.6,4.6,MINOR,"JUnit now includes a new experimental Core, MaxCore. MaxCore remembers the results of previous test runs in order to run new tests out of order.",,Max,,Add functionality,Add support for a new feature
+3 years,2009,09/05/2009,4.6,4.6,MINOR,JUnitCore now includes an experimental method that allows you to specify a model of the Computer that runs your tests.,,Test scheduling strategies,,Add method,Add support for a new feature
+3 years,2009,09/05/2009,4.6,4.6,MINOR,"Arrays of doubles can be compared, using a delta allowance for equality:",,Comparing double arrays,,Add functionality,Add support for a new feature
+3 years,2009,09/05/2009,4.6,4.6,MINOR,Filter.matchDescription API,,,,Add method,Add support for a new feature
+3 years,2009,09/05/2009,4.6,4.6,MINOR,A couple classes and packages that once had empty javadoc have been doc'ed.,,Documentation,,Add documentation,Documentation
+3 years,2009,09/05/2009,4.6,4.6,MINOR,Added how to run JUnit from the command line to the cookbook.,,Documentation,,Add documentation,Documentation
+3 years,2009,09/05/2009,4.6,4.6,MINOR,junit-4.x.zip now contains build.xml,,Documentation,junit-4.x.zip now contains build.xml,Change implementation,Code redesign
+3 years,2009,09/05/2009,4.6,4.6,MINOR,Fixed overly permissive @DataPoint processing (2191102),,Bug fixes,,Fix wrong implementation,Bug fix
+3 years,2009,09/05/2009,4.6,4.6,MINOR,Fixed bug in test counting after an ignored method (2106324),,Bug fixes,,Fix wrong implementation,Bug fix
+2 years,2008,04/09/2008,4.5,4.5,MINOR,,,,,,
+2 years,2008,04/09/2008,4.5,4.5,MINOR,"We are releasing junit-4.5.jar, which contains all the classes necessary to run JUnit, and junit-dep-4.5.jar, which leaves out hamcrest classes, for developers who already use hamcrest outside of JUnit.",,Installation,,Change installation setting,Code redesign
+2 years,2008,04/09/2008,4.5,4.5,MINOR,Test classes whose only test methods are inherited from superclasses now run.,,Basic JUnit operation,,Fix wrong implementation,Bug fix
+2 years,2008,04/09/2008,4.5,4.5,MINOR,"Optimization to annotation processing can cut JUnit overhead by more than half on large test classes, especially when using Theories. [Bug 1796847]",,Basic JUnit operation,,Fix wrong implementation,Bug fix
+2 years,2008,04/09/2008,4.5,4.5,MINOR,"Correct results when comparing the string ""null"" with potentially null values. [Bug 1857283]",,Basic JUnit operation,,Fix wrong implementation,Bug fix
+2 years,2008,04/09/2008,4.5,4.5,MINOR,"Annotating a class with @RunWith(JUnit4.class) will always invoke the default JUnit 4 runner in the current version of JUnit. This default changed from JUnit4ClassRunner in 4.4 to BlockJUnit4ClassRunner in 4.5 (see below), and may change again.",,Basic JUnit operation,,Change implementation,Code redesign
+2 years,2008,04/09/2008,4.5,4.5,MINOR,BlockJUnit4Runner is a new implementation of the standard JUnit 4 test class functionality. In contrast to JUnit4ClassRunner (the old implementation):,,Extension,,Add functionality,Add support for a new feature
+2 years,2008,04/09/2008,4.5,4.5,MINOR,"ParentRunner is a base class for runners that iterate over a list of ""children"", each an object representing a test or suite to run. ParentRunner provides filtering, sorting, @BeforeClass, @AfterClass, and method validation to subclasses.",,Extension,,Add functionality,Add support for a new feature
+2 years,2008,04/09/2008,4.5,4.5,MINOR,"TestClass wraps a class to be run, providing efficient, repeated access to all methods with a given annotation.",,Extension,,Add functionality,Add support for a new feature
+2 years,2008,04/09/2008,4.5,4.5,MINOR,The new RunnerBuilder API allows extending the behavior of Suite-like custom runners.,,Extension,,Add functionality,Add support for a new feature
+2 years,2008,04/09/2008,4.5,4.5,MINOR,AssumptionViolatedException.toString() is more informative,,Extension,Improve exception message ,Code refactoring,Maintainability improvement
+2 years,2008,04/09/2008,4.5,4.5,MINOR,Parameterized.eachOne() has been removed,,Extra Runners,Remove method,Change implementation,Code redesign
+2 years,2008,04/09/2008,4.5,4.5,MINOR,New runner Enclosed runs all static inner classes of an outer class.,,Extra Runners,,Add functionality,Add support for a new feature
+2 years,2008,04/09/2008,4.5,4.5,MINOR,"@Before and @After methods are run before and after each set of attempted parameters on a Theory, and each set of parameters is run on a new instance of the test class.",,Theories,,Add functionality,Add support for a new feature
+2 years,2008,04/09/2008,4.5,4.5,MINOR,Exposed API's ParameterSignature.getType() and ParameterSignature.getAnnotations(),,Theories,,Add functionality,Add support for a new feature
+2 years,2008,04/09/2008,4.5,4.5,MINOR,An array of data points can be introduced by a field or method marked with the new annotation @DataPoints,,Theories,,Add functionality,Add support for a new feature
+2 years,2008,04/09/2008,4.5,4.5,MINOR,The Theories custom runner has been refactored to make it faster and easier to extend,,Theories,,Code refactoring,Maintainability improvement
+2 years,2008,04/09/2008,4.5,4.5,MINOR,-,,,,Code refinement,Performance improvement
+2 years,2008,04/09/2008,4.5,4.5,MINOR,"Source has been split into directories src/main/java and src/test/java, making it easier to exclude tests from builds, and making JUnit more maven-friendly",,Development,Source has been split into directories src/main/java and src/test/java,Change implementation,Code redesign
+2 years,2008,04/09/2008,4.5,4.5,MINOR,"Test classes in org.junit.tests have been organized into subpackages, hopefully making finding tests easier.",,Development,"Test classes in org.junit.tests have been organized into subpackages, hopefully making finding tests easier.",Change implementation,Code redesign
+2 years,2008,04/09/2008,4.5,4.5,MINOR,ResultMatchers has more informative descriptions.,,Development,,Improve documentation,Documentation
+2 years,2008,04/09/2008,4.5,4.5,MINOR,TestSystem allows testing return codes and other system-level interactions.,,Development,,Add functionality,Add support for a new feature
+2 years,2008,04/09/2008,4.5,4.5,MINOR,"Removed Request.classes(String, Class<?>...) factory method",,Incompatible changes,Remove method,Change implementation,Code redesign
+2 years,2008,04/09/2008,4.5,4.5,MINOR,Each test method and test class can be annotated as belonging to a category:,,Categories,,Add functionality,Add support for a new feature
+2 years,2008,04/09/2008,4.5,4.5,MINOR,"Tests with failed assumptions are now marked as Ignored, rather than silently passing. This may change behavior in some client tests, and also will require some new support on the part of IDE's.",,JUnit 4 Runner API,,Change implementation,Code redesign
+1 year,2007,21/08/2007,4.4,4.4,MINOR,,,,,,
+1 year,2007,21/08/2007,4.4,4.4,MINOR,assertThat,,,,Add functionality,Add support for a new feature
+1 year,2007,21/08/2007,4.4,4.4,MINOR,"To allow compatibility with a wide variety of possible matchers, we have decided to include the classes from hamcrest-core, from the Hamcrest project. This is the first time that third-party classes have been included in JUnit.",,Needed for assertThat,Hamcrest,Add functionality,Add support for a new feature
+1 year,2007,21/08/2007,4.4,4.4,MINOR,The support for Theories,,,,Add functionality,Add support for a new feature
+1 year,2007,21/08/2007,4.4,4.4,MINOR,Annotated descriptions,,,,Add functionality,Add support for a new feature
+1 year,2007,21/08/2007,4.4,4.4,MINOR,"Bug fix (1715326): assertEquals now compares all Numbers using their native implementation of equals. This assertion, which passed in 4.3, will now fail:",,,assertEquals now compares all Numbers using their native implementation of equals,Fix wrong implementation,Bug fix
+1 year,2007,21/08/2007,4.4,4.4,MINOR,"Non-integer Numbers (Floats, Doubles, BigDecimals, etc), which were compared incorrectly in 4.3, are now fixed",,,,Fix wrong implementation,Bug fix
+1 year,2007,21/08/2007,4.4,4.4,MINOR,"assertEquals(long, long) and assertEquals(double, double) have been re-introduced to the Assert class, to take advantage of Java's native widening conversions. Therefore, this still passes:",,,,Revert old behaviour ,Code redesign
+1 year,2007,21/08/2007,4.4,4.4,MINOR,"The default runner for JUnit 4 test classes has been refactored. The old version was named TestClassRunner, and the new is named JUnit4ClassRunner",,,Rename classes,Code refactoring,Maintainability improvement
+1 year,2007,21/08/2007,4.4,4.4,MINOR,The rules for determining which runner is applied by default to a test class have been simplified:,,,,Code simplification,Maintainability improvement
+1 year,2007,21/08/2007,4.4,4.4,MINOR,Bug fix (1739095): Filters and Sorters work correctly on test classes that contain a suite method like:,,,,Fix wrong implementation,Bug fix
+1 year,2007,21/08/2007,4.4,4.4,MINOR,Bug fix (1745048): @After methods are now correctly called after a test method times out.,,,,Fix wrong implementation,Bug fix
+1 year,2007,14/05/2007,4.3,4.3.1,PATCH,,,,,,
+1 year,2007,14/05/2007,4.3,4.3.1,PATCH,Regression,,,,Fix regression,Bug fix
+1 year,2007,14/05/2007,4.3,4.3.1,PATCH,Regression,,,,Fix regression,Bug fix
+1 year,2007,14/05/2007,4.3,4.3,MINOR,,,,,,
+1 year,2007,14/05/2007,4.3,4.3,MINOR,"Changes in array equality. Using assertEquals to compare array contents is now deprecated. In the future, assertEquals will revert to its pre-4.0 meaning of comparing objects based on Java's Object.equals semantics. To compare array contents, use the new, more reliable Assert.assertArrayEquals methods.",,,,Change implementation,Code redesign
+1 year,2007,14/05/2007,4.3,4.3,MINOR,-,,,,Deprecate method,Deprecate functionality
+1 year,2007,14/05/2007,4.3,4.3,MINOR,"The @Ignore annotation can now be applied to classes, to ignore the entire class, instead of individual methods.",,,,Add functionality,Add support for a new feature
+1 year,2007,14/05/2007,4.3,4.3,MINOR,"Originally, developers who wanted to use a static suite() method from JUnit 3.x with a JUnit 4.x runner had to annotate the class with @RunWith(AllTests.class). In the common case, this requirement has been removed. However, when such a class is wrapped with a JUnit4TestAdapter (which we believe is rare), the results may not be as expected.",,,,Change implementation,Code redesign
+1 year,2007,14/05/2007,4.3,4.3,MINOR,"Improved error messages for array comparison(""arrays first differed at element [1][0]"")",,,Improve exception message ,Code refactoring,Maintainability improvement
+1 year,2007,14/05/2007,4.3,4.3,MINOR,Bug fix: Inaccessible base class is caught at test construction time.,,,,Fix wrong implementation,Bug fix
+1 year,2007,14/05/2007,4.3,4.3,MINOR,Bug fix: Circular suites are caught at test construction time.,,,,Fix wrong implementation,Bug fix
+1 year,2007,14/05/2007,4.3,4.3,MINOR,Bug fix: Test constructors that throw exceptions are reported correctly.,,,,Fix wrong implementation,Bug fix
+1 year,2007,14/05/2007,4.3,4.3,MINOR,"Sources now are in a separate ""src"" directory (this means a big break in the CVS history)",,,,Change implementation,Code redesign
+1 year,2007,14/05/2007,4.3,4.3,MINOR,"Improved documentation in Request, RunWith",,,,Improve documentation,Documentation
+1 year,2007,01/02/2007,4.2,4.2,MINOR,,,,,,
+1 year,2007,01/02/2007,4.2,4.2,MINOR,Bug fix: Inaccessible base class is caught at test construction time.,,,,Fix wrong implementation,Bug fix
+1 year,2007,01/02/2007,4.2,4.2,MINOR,Bug fix: Circular suites are caught at test construction time.,,,,Fix wrong implementation,Bug fix
+1 year,2007,01/02/2007,4.2,4.2,MINOR,"Improved error messages for array comparison(""arrays first differed at element [1][0]"")",,,Improve exception message ,Code refactoring,Maintainability improvement
+1 year,2007,01/02/2007,4.2,4.2,MINOR,Test constructors that throw exceptions are reported correctly.,,,,Fix wrong implementation,Bug fix
API start,2006,06/10/2006,4.1,4.1,MINOR,,,,,,
API start,2006,06/10/2006,4.1,4.1,MINOR,"Bug fix: listeners now get a correct test running time, rather than always being told 0 secs.",,,,Fix wrong implementation,Bug fix
API start,2006,06/10/2006,4.1,4.1,MINOR,The @RunWith annotation is now inherited by subclasses: all subclasses of an abstract test class will be run by the same runner.,,,,Change implementation,Code redesign
API start,2006,06/10/2006,4.1,4.1,MINOR,The build script fails if the JUnit unit tests fail,,,The build script fails if the JUnit unit tests fail,Fix failing build,Bug fix
API start,2006,06/10/2006,4.1,4.1,MINOR,The faq has been updated,,,,Update documentation,Documentation
API start,2006,06/10/2006,4.1,4.1,MINOR,"Javadoc has been improved, with more internal links, and package descriptions added (Thanks, Matthias Schmidt!)",,,,Improve documentation,Documentation
API start,2006,06/10/2006,4.1,4.1,MINOR,An acknowledgements.txt file has been created to credit outside contributions,,,An acknowledgements.txt file has been created to credit outside contributions,Add documentation,Documentation
API start,2006,06/10/2006,4.1,4.1,MINOR,"The Enclosed runner, which runs all of the static inner classes of a given class, has been added to org.junit.runners.",,,,Change implementation,Code redesign
API start,2006,18/02/2006,4,4.0,MAJOR,,,,,,
API start,2006,18/02/2006,4,4.0,MAJOR,"The architecture of JUnit 4.0 is a substantial departure from that of earlier releases. Instead of tagging test classes by subclassing junit.framework.TestCase and tagging test methods by starting their name with ""test"", you now tag test methods with the @Test annotation.",,,,Change implementation,Code redesign
