Year1,Year,Date,,Version,RELEASE,Changes,By,,Type,General,General Category
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,-,,Rules,Throw exception when needed,Fix wrong implementation,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1402: TemporaryFolder.newFolder(String) supports paths with slashes,,Rules,,Fix regression,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull requests #1406 (part 1) and #1568: Improve error message when TemporaryFolder.newFolder(String) fails,,Rules,"error message ""a folder with the name '<path>' already exists""",Fix wrong implementation,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,-,,Rules,Improve exception message ,Code refactoring,Maintainability improvement
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1406 (part 2): TemporaryFolder.newFolder(String...) supports path separator,,Rules,,Fix wrong implementation,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1406 (part 3): TemporaryFolder.newFolder(String...) fails for empty array,,Rules,IllegalArgumentException,Handle exception,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1335: Fix ExternalResource: the test failure could be lost,,Rules,the test failure is lost:,Fix swallowing exception,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1435: @BeforeParam/@AfterParam method annotations for Parameterized tests.,,Rules,This allows having preparation and/or cleanup in tests for specific parameter values.,Add functionality,Add support for a new feature
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1460: Handle assumption violations in the @Parameters method for Parameterized tests.,,Rules,AssumptionViolatedException,Handle exception,Bug fix
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1445 and Pull request #1335: Declarative ordering of rules.,,Rules,,Add functionality,Add support for a new feature
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,-,,Rules,,Deprecate annotation,Deprecate functionality
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,-,,Rules,,Update documentation,Documentation
+14 years,2020,01/01/2020,4.13.,4.13,MINOR,Pull request #1517: Timeout rule destroys its ThreadGroups at the end,,Rules,,Fix wrong implementation,Bug fix
