Year,Date,,Version,Release,Changes,By,,Type,General,General Category,,
2017,08/06/2017,3.6,3.6,MINOR,Add a method in StringUtils to extract only digits out of input string. Fixes LANG-1307. Thanks to Arshad Basha.,pschumacher,,,Add method,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,Implement HashSetvBitSetTest using JMH. Fixes LANG-1110. Thanks to Bruno P. Kinoshita.,pschumacher,,,OpenJMH,Support for external development tool,,
2017,08/06/2017,3.6,3.6,MINOR,Add JMH maven dependencies. Fixes LANG-1256. Thanks to C0rWin.,pschumacher,,,Add dependency,Update dependency,,
2017,08/06/2017,3.6,3.6,MINOR,Add null filter to ReflectionToStringBuilder. Fixes LANG-1167. Thanks to Mark Dacek.,chtompki,,,Add functionality,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,LocaleUtils#toLocale does not support language followed by UN M.49 numeric-3 area code followed by variant. Fixes LANG-1320.,britter,,,Fix wrong implementation,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,Clarify or improve behavior of int-based indexOf methods in StringUtils. Fixes LANG-1300. Thanks to Mark Dacek.,chtompki,,,Change implementation,Code redesign,,
2017,08/06/2017,3.6,3.6,MINOR,Add method for converting string to an array of code points. Fixes LANG-1299.,djones,,,Add method,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,RandomStringUtils random method can overflow and return characters outside of specified range. Fixes LANG-1286.,djones,,,Fix buffer overflow,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,Add methods to insert arrays into arrays at an index. Fixes LANG-660.,djones,,,Add method,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,WordUtils.wrap throws StringIndexOutOfBoundsException. Fixes LANG-1292.,djones,exception,StringIndexOutOfBoundsException,Handle exception,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,RandomStringUtils#random can enter infinite loop if end parameter is to small. Fixes LANG-1287. Thanks to Ivan Morozov.,pschumacher,,,Fix infinite loop,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,NullPointerException in FastDateParser$TimeZoneStrategy. Fixes LANG-1285. Thanks to Francesco Chicchiriccò.,pschumacher,exception:NPE,NullPointerException,Handle exception,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,Javadoc of StringUtils.ordinalIndexOf is contradictory. Fixes LANG-1281. Thanks to Andreas Lundblad.,pschumacher,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2017,08/06/2017,3.6,3.6,MINOR,StringUtils#join(T...): warning: [unchecked] Possible heap pollution from parameterized vararg type T. Fixes LANG-1188.,pschumacher,,Add comments ,Add documentation,Documentation,,
2017,08/06/2017,3.6,3.6,MINOR,"Multiple calls of org.apache.commons.lang3.concurrent.LazyInitializer.initialize() are possible. Fixes LANG-1144. Thanks to Waldemar Maier, Gary Gregory.",ggregory,,,Fix wrong implementation,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,StrBuilder#replaceAll ArrayIndexOutOfBoundsException. Fixes LANG-1276. Thanks to Andy Klimczak.,pschumacher,exception,ArrayIndexOutOfBoundsException,Handle exception,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,BooleanUtils javadoc issues. Fixes LANG-1278. Thanks to Duke Yin.,pschumacher,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2017,08/06/2017,3.6,3.6,MINOR,ArrayUtils#add confusing example in javadoc. Fixes LANG-1070. Thanks to Paul Pogonyshev.,pschumacher,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2017,08/06/2017,3.6,3.6,MINOR,StringUtils#isAnyEmpty and #isAnyBlank should return false for an empty array. Fixes LANG-1271. Thanks to Pierre Templier.,pschumacher,,,Fix wrong implementation,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,"Add StringUtils#unwrap. Fixes LANG-1155. Thanks to Saif Asif, Thiago Andrade.",pschumacher,,,Add method,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,Add support for recursive comparison to EqualsBuilder#reflectionEquals. Fixes LANG-1034. Thanks to Yathos UG.,pschumacher,,,Add functionality,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,Add a reflection-based variant of DiffBuilder. Fixes LANG-1067.,pschumacher,,,Add functionality,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,Implementation of a Memomizer. Fixes LANG-740. Thanks to James Sawle.,pschumacher,,,Add functionality,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,"Add ArrayUtils#toStringArray method. Fixes LANG-1258. Thanks to IG, Grzegorz Rożniecki.",pschumacher,,,Add method,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,StringUtils#abbreviate should support 'custom ellipses' parameter. Fixes LANG-1160.,kinow,,,Fix wrong implementation,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,"Add StringUtils#isAllEmpty and #isAllBlank methods. Fixes LANG-1293. Thanks to Pierre Templier, Martin Tarjanyi.",pschumacher,,,Add method,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,Increase test coverage of org.apache.commons.lang3.ArrayUtils. Fixes LANG-1290. Thanks to Andrii Abramov.,pschumacher,Test,,Increase test coverage,Quality assurance,,
2017,08/06/2017,3.6,3.6,MINOR,StrSubstitutor should state its thread safety. Fixes LANG-1274.,pschumacher,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2017,08/06/2017,3.6,3.6,MINOR,StringUtils#getLevenshteinDistance reduce memory consumption. Fixes LANG-1277. Thanks to yufcuy.,pschumacher,,,Reduce memory consumption,Memory improvement,,
2017,08/06/2017,3.6,3.6,MINOR,Update Java requirement from Java 6 to 7. Fixes LANG-1279.,ggregory,,,Align with with external Java evolution,Update dependency,,
2017,08/06/2017,3.6,3.6,MINOR,StringUtils should use toXxxxCase(int) rather than toXxxxCase(char). Fixes LANG-1143. Thanks to sebb.,pschumacher,,,Fix wrong implementation,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,Add SystemUtils.getHostName() API. Fixes LANG-1297.,ggregory,,,Add method,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,Moving apache-rat-plugin configuration into pluginManagement. Fixes LANG-1301. Thanks to Karl Heinz Marbaise.,pschumacher,pom.xml,Moving apache-rat-plugin configuration into pluginManagement,Change implementation,Code redesign,,
2017,08/06/2017,3.6,3.6,MINOR,TypeUtils.toString() doesn't handle primitive and Object arrays correctly. Fixes LANG-1311. Thanks to Aaron Digulla.,pschumacher,,,Fix wrong implementation,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,LocaleUtils#toLocale does not support language followed by UN M.49 numeric-3 area code. Fixes LANG-1312.,pschumacher,exception,IllegalArgumentException,Handle exception,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,Build failures when building with Java 9 EA. Fixes LANG-1265.,pschumacher,,Adapt to newer Java version,Fix failing build,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,javadoc creation broken with Java 8. Fixes LANG-1314. Thanks to Allon Murienik.,pschumacher,Adapt to newer Java version,Fix JavaDoc creation,Fix wrong implementation,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,Deprecate classes/methods moved to commons-text. Fixes LANG-1316.,pschumacher,,,Deprecate method,Deprecate functionality,,
2017,08/06/2017,3.6,3.6,MINOR,-,,,,Deprecate class,Deprecate functionality,,
2017,08/06/2017,3.6,3.6,MINOR,MethodUtils.invokeMethod throws ArrayStoreException if using varargs arguments and smaller types than the method defines. Fixes LANG-1310. Thanks to Don Jeba.,pschumacher,exception,ArrayStoreException,Handle exception,Bug fix,,
2017,08/06/2017,3.6,3.6,MINOR,"Add ArchUtils - An utility class for the ""os.arch"" system property. Fixes LANG-1313. Thanks to Tomschi.",pschumacher,,,Add functionality,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,Add shuffle methods to ArrayUtils. Fixes LANG-1272.,ebourg,,,Add method,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,"Add MethodUtils#findAnnotation and extend MethodUtils#getMethodsWithAnnotation for non-public, super-class and interface methods. Fixes LANG-1317. Thanks to Yasser Zamani.",pschumacher,,,Add method,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,Add ImmutablePair.nullPair(). Fixes LANG-1331.,ggregory,,,Add method,Add support for a new feature,,
2017,08/06/2017,3.6,3.6,MINOR,Add ImmutableTriple.nullTriple(). Fixes LANG-1332.,ggregory,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,,,,,,,,
2016,13/10/2016,3.5,3.5,MINOR,Added a tryAcquire() method to TimedSemaphore. Fixes LANG-1275.,oheger,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Added a new property IS_OS_MAC_OSX_EL_CAPITAN in SystemUtils. Fixes LANG-1273. Thanks to Jake Wang.,ebourg,,Add constant for OS,Add constants/variables,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,"Add DateUtils.toCalendar(Date, TimeZone). Fixes LANG-1255. Thanks to Kaiyuan Wang.",britter,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Add WordUtils.wrap overload with customizable breakable character. Fixes LANG-1023. Thanks to Marko Bekhta.,britter,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,"Add method removeIgnoreCase(String, String) to StringUtils. Fixes LANG-787. Thanks to Gokul Nanthakumar C.",pschumacher,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,ArrayUtils.contains returns false for instances of subtypes. Fixes LANG-1261.,pschumacher,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Prepare Java 9 detection. Fixes LANG-1197.,pschumacher,,Adapt to newer Java version,Deprecate enum value ,Deprecate functionality,,
2016,13/10/2016,3.5,3.5,MINOR,"Rename NumberUtils.isNumber, isCreatable to better reflect createNumber. Also, accommodated for ""+"" symbol as prefix in isCreatable and isNumber. Fixes LANG-1252. Thanks to Rob Tompkins.",chtompki,,,Code refactoring,Maintainability improvement,,
2016,13/10/2016,3.5,3.5,MINOR,"CompareToBuilder.append(Object, Object, Comparator) method is too big to be inlined. Fixes LANG-1262. Thanks to Ruslan Cheremin.",pschumacher,,Method too big to be inlined,Stylistic improvement,Maintainability improvement,,
2016,13/10/2016,3.5,3.5,MINOR,Remove unnecessary synchronization from registry lookup in EqualsBuilder and HashCodeBuilder. Fixes LANG-1230. Thanks to Philippe Marschall.,pschumacher,,Remove unnecessary synchronization ,Code refinement,Performance improvement,,
2016,13/10/2016,3.5,3.5,MINOR,Extend RandomStringUtils with methods that generate strings between a min and max length. Fixes LANG-1224. Thanks to Caleb Cushing.,pschumacher,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,"Handle ""void"" in ClassUtils.getClass(). Fixes LANG-1214. Thanks to Henry Tung.",pschumacher,exception,ClassNotFoundException,Handle exception,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,SerializationUtils#deserialize has unnecessary code and a comment for that. Fixes LANG-1250. Thanks to Glease Wang.,pschumacher,,Remove unnecessary code,Code simplification,Maintainability improvement,,
2016,13/10/2016,3.5,3.5,MINOR,Javadoc for ArrayUtils.isNotEmpty() is slightly misleading. Fixes LANG-1259. Thanks to Dominik Stadler.,britter,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2016,13/10/2016,3.5,3.5,MINOR,"Add APIs StringUtils.wrapIfMissing(String, char|String). Fixes LANG-1257. Thanks to Gary Gregory.",ggregory,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,TypeUtils.isAssignable throws NullPointerException when fromType has type variables and toType generic superclass specifies type variable. Fixes LANG-1190. Thanks to pschumacher.,pschumacher,exception:NPE,NullPointerException,Handle exception,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,StringUtils#normalizeSpace does not trim the string anymore. Fixes LANG-1226. Thanks to pschumacher.,pschumacher,,normalizeSpace does not trim the string anymore,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,SerializationUtils.ClassLoaderAwareObjectInputStream should use static initializer to initialize primitiveTypes map. Fixes LANG-1251. Thanks to Takuya Ueshin.,pschumacher,,,Fix thread-safe issue,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,[GitHub issue #170] Add RandomUtils#nextBoolean() method. Fixes LANG-1253. Thanks to adilek.,ggregory,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,FastDatePrinter Memory allocation regression. Fixes LANG-1248. Thanks to Benoit Wiart.,chas,,,Fix allocation regression ,Memory improvement,,
2016,13/10/2016,3.5,3.5,MINOR,FastDatePrinter generates extra Date objects. Fixes LANG-1247. Thanks to Benoit Wiart.,chas,,,Avoid generating unnecessary data objects,Memory improvement,,
2016,13/10/2016,3.5,3.5,MINOR,Fix precision loss on NumberUtils.createNumber(String). Fixes LANG-1018. Thanks to Nick Manley.,pschumacher,,,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,"HashCodeBuilder.append(Object,Object) is too big to be inlined, which prevents whole builder to be scalarized. Fixes LANG-1229. Thanks to Ruslan Cheremin.",pschumacher,,Method too big to be inlined,Stylistic improvement,Maintainability improvement,,
2016,13/10/2016,3.5,3.5,MINOR,Add a circuit breaker implementation. Fixes LANG-1085. Thanks to oheger / kinow.,oheger,,,Add functionality,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Add StringUtils.truncate(). Fixes LANG-1013. Thanks to Thiago Andrade.,pschumacher,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Enhance MethodUtils to allow invocation of private methods. Fixes LANG-1195. Thanks to Derek C. Ashmore.,pschumacher,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Fix implementation of StringUtils.getJaroWinklerDistance(). Fixes LANG-1199. Thanks to M. Steiger.,pschumacher,,,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,Fix dead links in StringUtils.getLevenshteinDistance() javadoc. Fixes LANG-1244. Thanks to jjbankert.,pschumacher,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2016,13/10/2016,3.5,3.5,MINOR,"""\u2284"":""nsub"" mapping missing from EntityArrays#HTML40_EXTENDED_ESCAPE. Fixes LANG-1242. Thanks to Neal Stewart.",pschumacher,,"""\u2284"":""nsub"" mapping missing",Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,Simplify ArrayUtils removeElements by using new decrementAndGet() method. Fixes LANG-1243.,sebb,,,Code simplification,Maintainability improvement,,
2016,13/10/2016,3.5,3.5,MINOR,Add getAndIncrement/getAndDecrement/getAndAdd/incrementAndGet/decrementAndGet/addAndGet in Mutable* classes. Fixes LANG-1189. Thanks to haiyang li / Matthew Bartenschlag.,sebb,,Add getters,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Optimize BitField constructor implementation. Fixes LANG-1240. Thanks to zhanhb.,pschumacher,,,Code refinement,Performance improvement,,
2016,13/10/2016,3.5,3.5,MINOR,Improve CharSetUtils.squeeze() performance. Fixes LANG-1206. Thanks to Mohammed Alfallaj.,pschumacher,,,Code refinement,Performance improvement,,
2016,13/10/2016,3.5,3.5,MINOR,Add RandomStringUtils#randomGraph and #randomPrint which match corresponding regular expression class. Fixes LANG-1225. Thanks to Caleb Cushing.,pschumacher,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,StringUtils#startsWithAny/endsWithAny is case sensitive - documented as case insensitive. Fixes LANG-901. Thanks to Matthew Bartenschlag.,pschumacher,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2016,13/10/2016,3.5,3.5,MINOR,Add StopWatch#getTime(TimeUnit). Fixes LANG-1223. Thanks to Nick Manley.,pschumacher,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Add methods to ObjectUtils class to check for null elements in the array. Fixes LANG-781. Thanks to Krzysztof Wolny.,pschumacher,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Prefer Throwable.getCause() in ExceptionUtils.getCause(). Fixes LANG-1228. Thanks to Brad Hess.,pschumacher,exception,,Fix throwing wrong exception,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,DiffBuilder add method to allow appending from a DiffResult. Fixes LANG-1233. Thanks to Nick Manley.,pschumacher,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Improve ArrayUtils removeElements time complexity to O(n). Fixes LANG-1176. Thanks to Jeffery Yuan.,pschumacher,,,Code refinement,Performance improvement,,
2016,13/10/2016,3.5,3.5,MINOR,getLevenshteinDistance with a threshold: optimize implementation if the strings lengths differ more than the threshold. Fixes LANG-1234. Thanks to Jonatan Jönsson.,pschumacher,,,Code refinement,Performance improvement,,
2016,13/10/2016,3.5,3.5,MINOR,Add SystemUtils.IS_OS_WINDOWS_10 property. Fixes LANG-1168. Thanks to pschumacher.,pschumacher,,Add constant for OS,Add constants/variables,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,DiffBuilder: Add null check on fieldName when appending Object or Object[]. Fixes LANG-1232. Thanks to Nick Manley.,pschumacher,exception:NPE,NullPointerException,Handle exception,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,"ArrayUtils.removeAll(Object array, int... indices) should do the clone, not its callers. Fixes LANG-1178. Thanks to Henri Yandell.",pschumacher,,,Change implementation,Code redesign,,
2016,13/10/2016,3.5,3.5,MINOR,Performance improvements for NumberUtils.isParsable. Fixes LANG-1151. Thanks to Juan Pablo Santos Rodríguez.,pschumacher,,,Code refinement,Performance improvement,,
2016,13/10/2016,3.5,3.5,MINOR,"StringUtils.stripAccents should remove accents from ""Ł"" and ""ł"". Fixes LANG-1120. Thanks to kaching88.",pschumacher,,"stripAccents should remove accents from ""Ł"" and ""ł""",Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,"EqualsBuilder.append(Object,Object) is too big to be inlined, which prevents whole builder to be scalarized. Fixes LANG-1218. Thanks to Ruslan Cheremin.",ggregory,,Method too big to be inlined,Stylistic improvement,Maintainability improvement,,
2016,13/10/2016,3.5,3.5,MINOR,NumberUtils.createNumber() behaves inconsistently with NumberUtils.isNumber(). Fixes LANG-1205. Thanks to pbrose.,chas,,,Fix inconsistency,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,"Add support for varargs in ConstructorUtils, MemberUtils, and MethodUtils. Fixes LANG-1115. Thanks to Jim Lloyd, Joe Ferner.",chas,,Add support for varargs,Add functionality,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Add methods to check numbers against NaN and inifinite to Validate. Fixes LANG-1134. Thanks to Alan Smithee.,chas,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Fix for incorrect comment on StringUtils.containsIgnoreCase method. Fixes LANG-1222. Thanks to Adam J..,ggregory,,Fix incorrect comment,Fix documentation,Documentation,,
2016,13/10/2016,3.5,3.5,MINOR,Fix typo on appendIfMissing javadoc. Fixes LANG-1221. Thanks to Pierre Templier.,ggregory,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2016,13/10/2016,3.5,3.5,MINOR,Add tests for missed branches in DateUtils. Fixes LANG-1220. Thanks to Casey Scarborough.,kinow,Test,,Increase test coverage,Quality assurance,,
2016,13/10/2016,3.5,3.5,MINOR,parseDateStrictly does't pass specified locale. Fixes LANG-1202. Thanks to Markus Jelsma.,chas,,parseDateStrictly does't pass specified locale,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,FastDateFormat doesn't respect summer daylight in some localized strings. Fixes LANG-1219. Thanks to Jarek.,chas,,FastDateFormat doesn't respect summer daylight in some localized strings,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,z/OS identification in SystemUtils. Fixes LANG-1146. Thanks to Gabor Liptak.,ggregory,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,StringUtils#startsWithAny has error in Javadoc. Fixes LANG-1210. Thanks to Matthias Niehoff.,ggregory,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2016,13/10/2016,3.5,3.5,MINOR,StrSubstitutor can preserve escapes. Fixes LANG-1208. Thanks to Samuel Karp.,bayard,,,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,Remove Ant-based build. Fixes LANG-1175. Thanks to Benedikt Ritter.,wikier,,Remove unnecessary file,Code simplification,Maintainability improvement,,
2016,13/10/2016,3.5,3.5,MINOR,FastDateFormat support of the week-year component (uppercase 'Y'). Fixes LANG-1192. Thanks to Dominik Stadler.,chas,exception,IllegalArgumentException,Handle exception,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,Limit max heap memory for consistent Travis CI build. Fixes LANG-1194.,chas,,,Fix failing build,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,Fix NullPointerException in FastDateParser$TimeZoneStrategy. Fixes LANG-1186. Thanks to NickManley.,chas,exception:NPE,NullPointerException,Handle exception,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,"ordinalIndexOf(""abc"", ""ab"", 1) gives incorrect answer of -1 (correct answer should be 0); revert fix for LANG-1077. Fixes LANG-1193. Thanks to Qin Li.",sebb,,,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,"Clarify Javadoc of StringUtils.containsAny(). Fixes LANG-1182. Thanks to Larry West, Pascal Schumacher.",britter,JavaDoc,Clarify JavaDoc,Clarify documentation,Documentation,,
2016,13/10/2016,3.5,3.5,MINOR,"Add StringUtils methods to compare a string to multiple strings. Fixes LANG-1169. Thanks to Rafal Glowinski, Robert Parr, Arman Sharif.",lguibert,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Add remove by regular expression methods in StringUtils. Fixes LANG-1185.,lguibert,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Making replacePattern/removePattern methods null safe in StringUtils. Fixes LANG-1183.,lguibert,exception:NPE,NullPointerException,Handle exception,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,Add replace by regular expression methods in StringUtils. Fixes LANG-1139.,lguibert,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Add compare methods in StringUtils. Fixes LANG-1171.,lguibert,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Add sugar to RandomUtils. Fixes LANG-1174. Thanks to Punkratz312.,britter,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Replace StringBuilder with String concatenation for better optimization. Fixes LANG-1057. Thanks to Otávio Santana.,chas,,,Code refinement,Performance improvement,,
2016,13/10/2016,3.5,3.5,MINOR,Deprecate SystemUtils.FILE_SEPARATOR and SystemUtils.PATH_SEPARATOR. Fixes LANG-1075.,chas,,,Deprecate constant,Deprecate functionality,,
2016,13/10/2016,3.5,3.5,MINOR,FastDateFormat APIs that use a StringBuilder. Fixes LANG-1154. Thanks to Gary Gregory.,chas,,,Add functionality,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Ability to throw checked exceptions without declaring them. Fixes LANG-1149. Thanks to Gregory Zak.,chas,,,Add functionality,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Several predefined ISO FastDateFormats in DateFormatUtils are incorrect. Fixes LANG-1002. Thanks to Michael Osipov.,chas,,,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,StringIndexOutOfBoundsException or field over-write for large year fields in FastDateParser. Fixes LANG-1152. Thanks to Pas Filip.,chas,exception,StringIndexOutOfBoundsException,Handle exception,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,Implement ParsePosition api for FastDateParser. Fixes LANG-1153.,chas,,,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,StrLookup.systemPropertiesLookup() no longer reacts on changes on system properties. Fixes LANG-1141.,oheger,,systemPropertiesLookup() no longer reacts on changes on system properties,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,EnumUtils *BitVector issue with more than 32 values Enum. Fixes LANG-1147. Thanks to Loic Guibert.,sebb,,fail in handling Enums,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,Capitalize javadoc is incorrect. Fixes LANG-1059. Thanks to Colin Casey.,sebb,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2016,13/10/2016,3.5,3.5,MINOR,Add check for duplicate event listener in EventListenerSupport. Fixes LANG-1137. Thanks to Matthew Aguirre.,britter,,,Add functionality,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,FastDateParser_TimeZoneStrategyTest#testTimeZoneStrategyPattern fails on Windows with German Locale. Fixes LANG-1133. Thanks to Pascal Schumacher.,chas,,,Fix failing tests,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,Add method containsAllWords to WordUtils. Fixes LANG-1135. Thanks to Eduardo Martins.,britter,,,Add method,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,ReflectionToStringBuilder doesn't throw IllegalArgumentException when the constructor's object param is null. Fixes LANG-1132. Thanks to Jack Tan.,britter,exception,,Fix throwing wrong exception,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,Inconsistent behavior of swap for malformed inputs. Fixes LANG-1122. Thanks to Adrian Ber.,britter,,,Fix inconsistency,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,StringUtils join with var args. Fixes LANG-701. Thanks to James Sawle.,britter,,Add support for varargs,Add functionality,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Fix critical issues reported by SonarQube. Fixes LANG-1130.,britter,,,Fix warnings,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,StrBuilder.equals(StrBuilder) doesn't check for null inputs. Fixes LANG-1131.,britter,exception:NPE,NullPointerException,Handle exception,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,Add ThreadUtils - A utility class which provides helper methods related to java.lang.Thread. Fixes LANG-1105. Thanks to Hendrik Saly.,britter,,,Add functionality,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,"Add annotations to exclude fields from ReflectionEqualsBuilder, ReflectionToStringBuilder and ReflectionHashCodeBuilder. Fixes LANG-1031. Thanks to Felipe Adorno.",britter,,,Add annotation,Add support for a new feature,,
2016,13/10/2016,3.5,3.5,MINOR,Use JUnit rules to set and reset the default Locale and TimeZone. Fixes LANG-1127.,"chas, britter",,,Increase test coverage,Quality assurance,,
2016,13/10/2016,3.5,3.5,MINOR,JsonToStringStyle doesn't handle chars and objects correctly. Fixes LANG-1128. Thanks to Jack Tan.,britter,,,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,DateFormatUtilsTest.testSMTP depends on the default Locale. Fixes LANG-1126.,britter,,Reset variable state,Fix failing tests,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,Unit test FastDatePrinterTimeZonesTest needs a timezone set. Fixes LANG-1123. Thanks to Christian P. Momon.,chas,,,Fix failing tests,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,CLONE - DateFormatUtils.format does not correctly change Calendar TimeZone in certain situations. Fixes LANG-916. Thanks to Christian P. Momon.,chas,,,Fix wrong implementation,Bug fix,,
2016,13/10/2016,3.5,3.5,MINOR,DateUtilsTest.testLang530 fails for some timezones. Fixes LANG-1116. Thanks to Aaron Sheldon.,chas,,,Fix wrong implementation,Bug fix,,
