Year,Date,,Version,Release,Changes,By,,Type,General,General Category,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Fix 2 digit week year formatting #688. Fixes LANG-1637. Thanks to Uri Gonen, Gary Gregory, Michael Osipov.",ggregory,,,Fix wrong implementation,Bug fix,Corrective,
2021,26/02/2021,3.12.,3.12.0,MINOR,Fix broken Javadoc links to commons-text #712. Thanks to Chris Smowton.,ggregory,JavaDoc,Fix JavaDoc,Fix documentation,Documentation,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Add and use ThreadUtils.sleep(Duration). Thanks to Gary Gregory.,ggregory,,,Add method,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Add and use ThreadUtils.join(Thread, Duration). Thanks to Gary Gregory.",ggregory,,,Add method,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Add ObjectUtils.wait(Duration). Thanks to Gary Gregory.,ggregory,,,Add method,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Add BooleanUtils.booleanValues(). Thanks to Gary Gregory.,ggregory,,,Add method,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Add BooleanUtils.primitiveValues(). Thanks to Gary Gregory.,ggregory,,,Add method,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Add StringUtils.containsAnyIgnoreCase(CharSequence, CharSequence...). Fixes LANG-1535. Thanks to Gary Gregory, Isira Seneviratne.",ggregory,,,Add method,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Add StopWatch.getStopTime(). Fixes LANG-1359. Thanks to Gary Gregory, Keegan Witt.",ggregory,,,Add method,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,More test coverage for CharSequenceUtils. #631. Thanks to Edgar Asatryan.,ggregory,Test,,Increase test coverage,Quality assurance,,
2021,26/02/2021,3.12.,3.12.0,MINOR,ArrayUtils.toPrimitive(Object) does not support boolean and other types #607. Fixes LANG-1596. Thanks to Richard Eckart de Castilho.,aherbert,,,Add functionality,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Add fluent-style ArraySorter. Thanks to Gary Gregory.,ggregory,,ArraySorter,Add class,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Add and use LocaleUtils.toLocale(Locale) to Avoid throwing exceptions. Thanks to Gary Gregory.,ggregory,exception,,Handle exception,Bug fix,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Add FailableShortSupplier, handy for JDBC APIs. Thanks to Gary Gregory.",ggregory,,"Add FailableShortSupplier, handy for JDBC APIs",Add class,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Add JavaVersion.JAVA_17. Thanks to Gary Gregory.,ggregory,Java Verison,,Add constants/variables,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Add missing boolean[] join method #686. Fixes LANG-1636.,ggregory,,,Add method,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Add StringUtils.substringBefore(String, int). Thanks to Gary Gregory.",ggregory,,,Add method,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Add Range.INTEGER. Thanks to Gary Gregory.,ggregory,,,Add constants/variables,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Add DurationUtils. Thanks to Gary Gregory.,ggregory,,,Add class,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Introduce the use of @Nonnull, and @Nullable, and the Objects class as a helper tool.",jochen,,Objects class as a helper tool,Add class,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Add and use true and false String constants #714. Thanks to Arturo Bernal, Gary Gregory.",ggregory,,,Add constants/variables,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Add and use ObjectUtils.requireNonEmpty() #716. Thanks to Arturo Bernal, Gary Gregory.",ggregory,,,Add method,Add support for a new feature,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Enable Dependabot #587. Thanks to Gary Gregory.,ggregory,,,Dependabot,Support for external development tool,,
2021,26/02/2021,3.12.,3.12.0,MINOR,Bump junit-jupiter from 5.6.2 to 5.7.0.,chtompki,,,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Bump spotbugs from 4.1.2 to 4.2.1, #627, #671, #708. Thanks to chtompki, Dependabot.",chtompki,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Bump spotbugs-maven-plugin from 4.0.0 to 4.2.0, #593, #596, #609, #623, #632, #692. Thanks to Dependabot.",ggregory,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Bump biz.aQute.bndlib from 5.1.1 to 5.3.0 #592, #628, #715. Thanks to Dependabot.",ggregory,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Bump junit-pioneer from 0.6.0 to 1.1.0, #589, #597, #600, #624, #625, #662. Thanks to Dependabot.",ggregory,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
2021,26/02/2021,3.12.,3.12.0,MINOR,"Bump checkstyle from 8.34 to 8.40, #594, #614, #637, #665, #706. Thanks to Dependabot.",ggregory,Dependabot,Result from adding Dependabot,Bump version numbers,Update dependency,,
