Date;Aggregated Version;Version;RELEASE;Changes;Type;General;General Category
07.05.2019;1.1; 1.1.0-alpha05;PRE-RELEASE;Fix custom set window backgrounds being overridden in AlertDialog;Bug Fixes;Fix wrong implementation;Bug fix
03.04.2019;1.1;1.1.0-alpha04;PRE-RELEASE;;;;
03.04.2019;1.1;1.1.0-alpha04;PRE-RELEASE;Added new ThemeOverlay.AppCompat.DayNight family of themes. These should be used when using the DayNight feature.;New Feature;Add functionality;Add support for a new feature
03.04.2019;1.1;1.1.0-alpha04;PRE-RELEASE;AppCompatActivity now contain a second constructor that takes a @LayoutRes int, which replaces the previous behavior of annotating your AppCompatActivity class with @ContentView. This approach works in both app and library modules. (b/128352521);New Feature;Add functionality;Add support for a new feature
03.04.2019;1.1;1.1.0-alpha04;PRE-RELEASE;Pinned internal dependencies to stable versions where possible;Bug Fixes;Fix wrong implementation;Bug fix
03.04.2019;1.1;1.1.0-alpha04;PRE-RELEASE;Fixed AppCompatSpinnerscrolling in dropdown mode )b/124274573);Bug Fixes;Fix wrong implementation;Bug fix
03.04.2019;1.1;1.1.0-alpha04;PRE-RELEASE;Only calls applyOverrideConfiguration() if required for DayNight;Bug Fixes;Code changes;Code redesign
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;;;;
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;The new appcompat-resources library contains APIs that allow apps to load and tint drawables (including vector drawables) on older versions of the platform. This is the same functionality that was previously part of the appcompat module, but is now available without the overhead of the full appcompat backport of Material design that includes widgets, dialogs, night mode etc.;New Features;Add functionality;Add support for a new feature
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;Major fixes to DayNight mode support;New Features;Fix wrong implementation;Bug fix
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;New MODE_NIGHT_AUTO_BATTERY option for DayNight mode;New Features;Add functionality;Add support for a new feature
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;Drawable tinting in AppCompatTextView;New Features;Add functionality;Add support for a new feature
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;Toolbar overflow can now be styled with themed color state lists;New Features;Add functionality;Add support for a new feature
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;Menu icons can now use colors that reference theme attributes;New Features;Add functionality;Add support for a new feature
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;The new app:menu attribute can be set on a Toolbar to provide the menu content at inflation time;New Features;Add functionality;Add support for a new feature
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;Fixed default tint mode on ImageView on version 21;Bug Fixes;Fix wrong implementation;Bug fix
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;Fixed spinner popup incorrect dismissal on device rotation;Bug Fixes;Fix wrong implementation;Bug fix
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;Fixed DayNight does not respect configChanges in manifest;Bug Fixes;Fix wrong implementation;Bug fix
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;Fixed switching to MODE_NIGHT_FOLLOW_SYSTEM doesn't work (b/111345020);Bug Fixes;Fix wrong implementation;Bug fix
13.03.2019;1.1; 1.1.0-alpha03;PRE-RELEASE;Fixed WebView resets DayNight Resources (b/37124582);Bug Fixes;Fix wrong implementation;Bug fix
07.02.2019; 1.1; 1.1.0-alpha02;PRE-RELEASE;;;;
07.02.2019; 1.1; 1.1.0-alpha02;PRE-RELEASE;Extracted resource-specific drawable handling into a hook (aosp/870976);New features;Code refactoring ;Maintainability improvement
07.02.2019; 1.1; 1.1.0-alpha02;PRE-RELEASE;Allowed Toolbar titleTextColor and subtitleTextColor to use a ColorStateList and added ColorStateList overloads of the setTitleTextColor and setSubtitleTextColor methods (aosp/867489);New features;Code changes ;Code redesign
07.02.2019; 1.1; 1.1.0-alpha02;PRE-RELEASE;Fixed fontFamily not working on pre API 24 (aosp/807054);Bug fixes;Fix wrong implementation;Bug fix
07.02.2019; 1.1; 1.1.0-alpha02;PRE-RELEASE;Fixed bug where textFontWeight did not work when an activity extends from AppCompatActivity (aosp/847640);Bug fixes;Fix wrong implementation;Bug fix
07.02.2019; 1.1; 1.1.0-alpha02;PRE-RELEASE;Fixed bug that caused the title text on the spinner widget popup (when using dialog mode) to not use the font specified in the fontFamily (aosp/789994);Bug fixes;Fix wrong implementation;Bug fix
07.02.2019; 1.1; 1.1.0-alpha02;PRE-RELEASE;Fix bug that prevented widgets AppCompatCheckBox and AppCompatRadioButton from be able to change the background tint (aosp/825160);Bug fixes;Fix wrong implementation;Bug fix
07.02.2019; 1.1; 1.1.0-alpha02;PRE-RELEASE;Fixed bug where AppCompat did not override android: list styles (aosp/862350);Bug fixes;Fix wrong implementation;Bug fix
03.12.2018; 1.1; 1.1.0-alpha01;PRE-RELEASE;;;;
03.12.2018; 1.1; 1.1.0-alpha01;PRE-RELEASE;AppCompatTextView now supports app:drawableLeftCompat, app:drawableTopCompat, app:drawableRightCompat, app:drawableBottomCompat, app:drawableStartCompat and app:drawableEndCompat compound drawables, supporting backported drawable types such as VectorDrawableCompat.;New Features;Code changes;Code redesign
03.12.2018; 1.1; 1.1.0-alpha01;PRE-RELEASE;AppCompatCheckBox and AppCompatRadioButton’s default drawables now animate check state changes.;New Features;Code changes;Code redesign
03.12.2018; 1.1; 1.1.0-alpha01;PRE-RELEASE;aosp/740385: ActionBarOverlayLayout now implements NestedScrollingParent2 and NestedScrollingParent3, enabling it to facilitate the latest functionality in nested scrolling 3. If developer code currently overrides ActionBarOverLayLayout.onNestedScroll(View, int, int, int, int), it will likely no longer be called and ActionBarOverLayLayout.onNestedScroll(View, int, int, int, int, int, int[]) should be overridden instead.;API changes;Code changes;Code redesign
07.11.2018;1.0;1.0.2;PATCH;;;;
07.11.2018;1.0;1.0.2;PATCH;Fixed bug where PrecomputedTextCompat would crash when used with RTL AppCompatTextView. b/113070424;Bug Fixes;Fix wrong implementation;Bug fix
07.11.2018;1.0;1.0.0;MAJOR;;;;
;;;;AnimatedStateListDrawableCompat provides animated transitions between drawable states.;New Features;Add functionality;Add support for a new feature
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
