Year1;Year;Date; ;Version;RELEASE;Changes;By; ;Type;General;General Category;;;;;;;;;;;;;;;;;;;
+16 years;2021;09.07.2021;2.11.;2.11.0;MINOR;Minor changes #243. Thanks to Arturo Bernal.;ggregory;;Remove Unnecessary interface modifier;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;09.07.2021;2.11.;2.11.0;MINOR;-;;;Make final var;Change access modifier;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;09.07.2021;2.11.;2.11.0;MINOR;-;;;Simplify conditions;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;09.07.2021;2.11.;2.11.0;MINOR;-;;;Simplify assertions;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;09.07.2021;2.11.;2.11.0;MINOR;Replace construction of FileInputStream and FileOutputStream objects with Files NIO APIs. #221. Thanks to Arturo Bernal.;ggregory;;NIO;Change implementation;Code redesign;;;;;;;;;;;;;;;;;;;
+16 years;2021;09.07.2021;2.11.;2.11.0;MINOR;Fix IndexOutOfBoundsException in IOExceptionList constructors. Thanks to Gary Gregory.;ggregory;;IndexOutOfBoundsException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;09.07.2021;2.11.;2.11.0;MINOR;Remove IOException from the method signatures that no longer throw IOException. This maintains binary compatibility but not source compatibility. - FilenameUtils directoryContains(String, String) - BoundedReader BoundedReader(java.io.Reader, int) - IOUtils lineIterator(java.io.InputStream, Charset) lineIterator(java.io.InputStream, String) toByteArray(String) toInputStream(CharSequence, String) toInputStream(String, String) toString(byte[]) toString(byte[], String) Thanks to Gary Gregory.;ggregory;;Remove excpetion from method signature;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;09.07.2021;2.11.;2.11.0;MINOR;Add SymbolicLinkFileFilter. Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;09.07.2021;2.11.;2.11.0;MINOR;Add test to make sure the setter of AndFileFilter works correctly #244. Thanks to trncate.;ggregory;;;Increase test coverage;Quality assurance;;;;;;;;;;;;;;;;;;;
+16 years;2021;09.07.2021;2.11.;2.11.0;MINOR;Add XmlStreamReader(Path). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;09.07.2021;2.11.;2.11.0;MINOR;Bump mockito-inline from 3.11.0 to 3.11.2 #247. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;09.07.2021;2.11.;2.11.0;MINOR;Bump jmh.version from 1.27 to 1.32 #237. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;10.06.2021;2.10.;2.10.0;MINOR;;;;;;;;;;;;;;;;;;;;;;;;;
+16 years;2021;10.06.2021;2.10.;2.10.0;MINOR;RegexFileFilter uses the path and file name instead of just the file name. Fixes IO-733. Thanks to Jim Sellers, Gary Gregory.;ggregory;;;Fix regression;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;10.06.2021;2.10.;2.10.0;MINOR;The OSGi manifest now contains sun.* import packages #239. Fixes IO-734. Thanks to Eric Norman.;ggregory;;;Fix dependency;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;10.06.2021;2.10.;2.10.0;MINOR;Sanitize double slash after prefix #79. Fixes IO-585. Thanks to Adam McClenaghan.;ggregory;;;Fix conformance to specification;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;10.06.2021;2.10.;2.10.0;MINOR;Add and use RegexFileFilter.toString(). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;10.06.2021;2.10.;2.10.0;MINOR;Add and use RegexFileFilter.RegexFileFilter(Pattern, Function<Path>, String>) Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;10.06.2021;2.10.;2.10.0;MINOR;Add and use IOCase.isCaseSensitive(IOCase). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;10.06.2021;2.10.;2.10.0;MINOR;Bump actions/cache from 2.1.5 to 2.1.6 #238. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;10.06.2021;2.10.;2.10.0;MINOR;Bump junit-pioneer from 1.4.1 to 1.4.2 #240. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;10.06.2021;2.10.;2.10.0;MINOR;Bump checkstyle from 8.42 to 8.44 #241, #248. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;10.06.2021;2.10.;2.10.0;MINOR;Bump mockito-inline from 3.10.0 to 3.11.0 #242. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;;;;;;;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;IOUtils.toByteArray(InputStream) Javadoc does not match code. Fixes IO-686. Thanks to Alan Moffat, Gary Gregory.;ggregory;;JavaDoc does not match code;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;FileUtils: Remove Instant->ZonedDateTime->Instant round-trip. Fixes IO-689. Thanks to Uwe Schindler.;aherbert;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Make FilenameUtils.equals() not throw an exception #154. Thanks to Michael Ernst, Gary Gregory.;ggregory;;NullPointerException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Un-deprecate IOUtils.closeQuietly() methods. Thanks to Jan Peter Stotz, Bernd Eckenfels, Gary Gregory.;ggregory;;Un-deprecate methods;Change implementation;Code redesign;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;FileUtils#copyDirectory(File, File, FileFilter, preserveFileDate) clean up #163. Thanks to Michiel Kalkman.;ggregory;;Reduce method calls;Code refinement;Performance improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;AccumulatorPathVisitor does not track directories properly. Thanks to Gary Gregory.;ggregory;;AccumulatorPathVisitor does not track directories properly;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;FileUtils.iterateFiles runs out of memory when executed for a directory with large number of files. Re-implement FileUtils' iterateFiles(), iterateFilesAndDirs(), listFiles(), listFilesAndDirs() to use NIO file tree walking instead of IO file listings to avoid memory consumption issues on large file trees. Fixes IO-597. Thanks to Gary Gregory, Arvind, Rob Spoor.;ggregory;;NIO;Change implementation;Code redesign;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;FileUtils.forceDelete(File) actually forces deletion of read-only files as it did in version 2.6. Thanks to Gary Gregory.;ggregory;;forces deletion of read-only files as it did in version 2.6;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;PathUtils.deleteFile() no longer throws a NoSuchFileException when applied on a symbolic link pointing to a file that doesn't exist. Fixes IO-692. Thanks to Matthew Rooney, Emmanuel Bourg.;ebourg;;NoSuchFileException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Behavior change in FileUtils.copyDirectory() file last modified timestamp preservation. Match Javadoc to code. Fixes IO-694. Thanks to Tan Yee Fan, Gary Gregory.;ggregory;;JavaDoc does not match code;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Fix getPrefixLength method for Linux filename #179. Fixes IO-600. Thanks to Abhyankar Chaubey, Gary Gregory.;ggregory;;;Fix returning wrong output;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Wrong logging in FileUtils.setLastModified. Fixes IO-699. Thanks to tza, Gary Gregory.;ggregory;;JavaDoc does not match code;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;IOUtils.toByteArray(InputStream) Javadoc does not match code. Fixes IO-686. Thanks to Alan Moffat, Sebb, Gary Gregory.;ggregory;;JavaDoc does not match code;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;CopyUtils deprecation message gives wrong version. Fixes IO-688. Thanks to Michael Ernst, Gary Gregory.;ggregory;;Fix incorrect comment;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Make PathUtils.setReadOnly deal with LinuxDosFileAttributeView #186. Fixes IO-701. Thanks to Gary Gregory.;ggregory;;FileSystemException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;FileUtils.forceDelete does not delete invalid links. #187. Fixes IO-702. Thanks to Boris Unckel, Gary Gregory.;ggregory;;DirectoryNotEmptyException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;IOUtils.toByteArray(null) no longer throws a NullPointerException. Fixes IO-690. Thanks to Chris Heisterkamp, Gary Gregory.;ggregory;;NullPointerException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;MarkShieldInputStream#reset should throw UnsupportedOperationException. Fixes IO-705. Thanks to Hao Zhong, Gary Gregory.;ggregory;;Throw UnsupportedOperationException when needed;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;LockableFileWriter.close() should fail when the lock file cannot be deleted. Fixes IO-705. Thanks to Hao Zhong, Gary Gregory.;ggregory;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Fix infinite loops in ObservableInputStream read(*) when an exception is caught but not re-thrown. Fixes IO-705. Thanks to Hao Zhong, Gary Gregory.;ggregory;;;Fix infinite loop;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Fixed error of copying directories between different file systems #203. Fixes IO-719. Thanks to Andrew Shcheglov, Gary Gregory.;ggregory;;Fixed error of copying directories between different file systems;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Fix Typos in JavaDoc, Comments and Tests #201. Thanks to Felix Rilling.;ggregory;;Fix typo;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;Fix typo;Stylistic improvement;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;FileUtils.checksumCRC32 and FileUtils.checksum are not thread safe. Fixes IO-718. Thanks to Robert Cooper, Gary Gregory.;ggregory;;;Fix thread-safe issue;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Fix error about usage of DirectBuffer in JRE 16/17 #205. Fixes IO-720. Thanks to XenoAmess.;ggregory;;IllegalAccessError;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Prevent infinite loop with AbstractCharacterFilterReader if EOF is filtered out #226. Thanks to Rob Spoor, Gary Gregory.;ggregory;;;Fix infinite loop;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Check for long streams in IOUtils.toByteArray #175. Fixes IO-429. Thanks to Ivan Leskin, Ivan Leskin.;ggregory;;NegativeArraySizeException;Handle exception;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add FileSystemProviders class. Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Let org.apache.commons.io.filefilter classes work with java.nio.file.Files.walk* APIs. Thanks to Gary Gregory.;ggregory;;NIO;Change implementation;Code redesign;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Let org.apache.commons.io.filefilter classes work with java.nio.file.Files#newDirectoryStream(Path, DirectoryStream.Filter). Thanks to Gary Gregory.;ggregory;;NIO;Change implementation;Code redesign;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add and adapt ReadAheadInputStream and BufferedFileChannelInputStream from Apache Spark. Fixes IO-510. Thanks to Gary Gregory, Apache Spark, David Mollitor.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add PathUtils.createParentDirectories(Path, FileAttribute...). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add factory methods to CloseShieldInputStream, CloseShieldReader, CloseShieldOutputStream, CloseShieldWriter, #173. Thanks to Rob Spoor, Gary Gregory.;ggregory;;Add factory methods;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add QueueInputStream and QueueOutputStream as simpler alternatives to PipedInputStream and PipedOutputStream #171. Thanks to maxxedev, Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add StandardLineSeparator. Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Replace magic numbers with constants with the new IOUtils.CR and LF. Thanks to Gary Gregory.;ggregory;;"Use constant instead of ""magic"" string";Stylistic improvement;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add FileSystem#supportsDriveLetter(). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add FileUtils.delete(File). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add FileUtils.moveFile(File, File, CopyOption...) #185. Fixes IO-700. Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add FileUtils.isEmptyDirectory(File). Fixes IO-700. Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add FileUtils.lastModified[Unchecked](File) to workaround https://bugs.openjdk.java.net/browse/JDK-8177809. Thanks to Gary Gregory.;ggregory;;Add method;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add null safe variants of isDirectory and isRegularFile. Fixes IO-709. Thanks to Boris Unckel, Gary Gregory.;ggregory;;Null-safe;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add and use IOExceptionList(String, List). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add and use ObservableInputStream.ObservableInputStream(InputStream, Observer...). Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Make ObservableInputStream.getObservers() public. Thanks to Gary Gregory.;ggregory;;Make method public;Change access modifier;Code redesign;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add TimestampedObserver. Fixes IO-706. Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add and use IOUtils.byteArray(*). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Make public and reuse IOUtils.EMPTY_BYTE_ARRAY. Thanks to Gary Gregory.;ggregory;;Make constant public;Change access modifier;Code redesign;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;Code reuse;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add IOUtils.copy(URL, File). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add copy(URL, OutputStream). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add DeferredFileOutputStream.toInputStream() #206. Fixes IO-651. Thanks to jmark109, Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add CharacterSetFilterReader.CharacterSetFilterReader(Reader, Integer...). Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add AbstractCharacterFilterReader(Reader, IntPredicate), #227. Add CharacterFilterReader(Reader, IntPredicate), #227. Add CharacterFilterReaderIntPredicateTest, #227. Thanks to Rob Spoor, Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add IOConsumer.noop(). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add constructor ThresholdingOutputStream(int, IOConsumer, IOFunction) and make the class concrete. Thanks to Gary Gregory.;ggregory;;;Add constructor;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Add constructor accepting collection of file alteration observers #236. Thanks to nstdspace, Gary Gregory.;ggregory;;;Add constructor;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Update junit-jupiter from 5.6.2 to 5.7.0 #153. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Update mockito-core from 3.5.9 to 3.10.0, #152, #155, #157, #166, #167, #169, #182. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Bump mockito-inline from 3.7.0 to 3.10.0 #188, #207, #230. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Update commons.jacoco.version 0.8.5 to 0.8.7, fixes Java 15 builds and up. Thanks to Gary Gregory.;ggregory;;;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Update spotbugs from 4.1.2 to 4.5.0, #158, #164, #165, #180, #199, #213, #224, #302. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Bump spotbugs-maven-plugin from 4.0.4 to 4.2.3, #161, #172, #223. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Update org.junit-pioneer:junit-pioneer 0.9.0 -> 1.4,1, #159, #162, #170, #189, #191, #210, #229. Thanks to Gary Gregory, Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Update actions/checkout from v2.3.2 to v2.3.4, #156, #168. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Bump actions/setup-java from v1.4.2 to v2 #160. Thanks to Dependabot, Gary Gregory.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Update maven-surefire-plugin from 2.22.2 to 3.0.0-M5. Thanks to Gary Gregory.;ggregory;;;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Minor improvements, #176, 177, #190. Thanks to Arturo Bernal.;ggregory;;Add Final;Change access modifier;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;Remove unused import;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;Unnecessary semicolon;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;Unnecessary conversion to String;Code refinement;Performance improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;Add final;Change access modifier;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;Use Standard Charset object;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;Redundant 'close()';Code refinement;Performance improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;Add final;Change access modifier;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;Remove redundant initializer;Code refinement;Performance improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;simplify conditions;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Update commons.japicmp.version 0.14.4 -> 0.15.3. Thanks to Gary Gregory.;ggregory;;;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Tiny performance improvement in FileUtils#moveDirectoryToDirectory() #174. Thanks to Michiel Kalkman.;ggregory;;;Code refinement;Performance improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Bump checkstyle from 8.38 to 8.42 #689, #209, #225. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Bump maven-checkstyle-plugin from 3.1.1 to 3.1.2 #198. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Bump jimfs from 1.1 to 1.2 #183. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Improve performance of IOUtils.contentEquals(InputStream, InputStream). Thanks to XenoAmess, Gary Gregory.;ggregory;;;Code refinement;Performance improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Improve performance of IOUtils.contentEquals(Reader, Reader). Thanks to XenoAmess, Gary Gregory.;ggregory;;;Code refinement;Performance improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Bump actions/cache from v2 to v2.1.5 #202, #228. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Bump junit-bom from 5.7.0 to 5.7.2 #200, #232. Thanks to Dependabot.;ggregory;;Result from adding Dependabot;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Update from Apache Commons Lang 3.11 to 3.12.0. Thanks to Gary Gregory.;ggregory;;;Bump version numbers;Update dependency;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Minor improvements #233. Thanks to Arturo Bernal.;ggregory;;Replace lambda for reference;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;Adapt to newer Java version;Use List.sort() instead of Collection.sort();Code refactoring;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;Change Explicit with <>;Stylistic improvement;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;-;;;Simplify conditional expression;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+16 years;2021;22.05.2021;2,9;2.9.0;MINOR;Simplify Assertions in tests #234. Thanks to Arturo Bernal.;ggregory;;Simplify assertions ;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+15 years;2020;05.09.2020;2,8;2.8.0;MINOR;;;;;;;;;;;;;;;;;;;;;;;;;
+15 years;2020;05.09.2020;2,8;2.8.0;MINOR;Add org.apache.commons.io.input.CircularInputStream. Thanks to Gary Gregory.;ggregory;;;Add class;Add support for a new feature;;;;;;;;;;;;;;;;;;;
+15 years;2020;05.09.2020;2,8;2.8.0;MINOR;Add org.apache.commons.io.file.PathUtils.cleanDirectory(Path, FileVisitOption...). Thanks to Gary Gregory.;ggregory;;;Add method;Add support for a new feature;;;;;;;;;;;;;;;;;;;
