Year1;Year;Date; ;Version;RELEASE;Changes;By; ;Type;General;General Category;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;FilenameUtils directoryContains() should handle files with the same prefix #217. Fixes IO-727. Thanks to trungPa, Gary Gregory.;ggregory;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Drop unnecessary casts and conversions #267. Fixes IO-746. Thanks to Davide Angelocola.;ggregory;;Remove redundant casts and conversions;Code refinement;Performance improvement;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;FileUtils.moveToDirectory() exception documentation and exception message error. Fixes IO-748. Thanks to Dirk Heinrichs, Gary Gregory, Elango Ravi.;ggregory;;Fix JavaDoc;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;-;;;Improve exception message ;Code refactoring;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;ThreadMonitor.sleep(Duration) ignores nanoseconds. Thanks to Gary Gregory.;ggregory;;;Fix wrong implementation;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Fix Javadoc in ThreadMonitor#run() method. #273. Thanks to Arturo Bernal.;ggregory;;Fix JavaDoc;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;FileUtils.listFiles() does not list matching files if File parameter is a symbolic link. Fixes IO-749. Thanks to haihuiyang, Gary Gregory.;ggregory;;FileUtils.listFiles() does not list matching files if File parameter is a symbolic link;Fix regression;Bug fix;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Fix typo in Javadocs for FileUtils#convertFileCollectionToFileArray() #276. Thanks to niranjanghule, Gary Gregory.;ggregory;typo;Fix JavaDoc;Fix documentation;Documentation;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;Avoid Code Duplication: Reuse Sleep from ThreadMonitor #66. Thanks to DaGeRe, Gary Gregory.;ggregory;;Code reuse;Code simplification;Maintainability improvement;;;;;;;;;;;;;;;;;;;
+18 years;2023;13.05.2023;2.12.;2.12.0;MINOR;FileUtils.iterateFiles also lists directories. Fixes IO-750. Thanks to Sita Geßner, Sebastian Peters, Gary Gregory.;ggregory;;Fix wrong implementation;Fix regression;Bug fix;;;;;;;;;;;;;;;;;;;
